cidade,dt,r,tmin,tmax,wmx,c1,c2,c3,c4
Abadia de Goiás - GO,2026-05-27,0.0,14.67,29.25,12.0,0,0,0,0
Abadia de Goiás - GO,2026-05-28,0.0,17.84,28.93,8.35,0,0,0,0
Abadia de Goiás - GO,2026-05-29,0.0,18.21,27.64,7.72,0,0,0,1
Abadia de Goiás - GO,2026-05-30,0.0,18.5,27.89,9.12,0,0,0,1
Abadia de Goiás - GO,2026-05-31,0.03,17.2,28.45,6.94,0,0,2,1
Abadia de Goiás - GO,2026-06-01,0.55,17.0,28.08,6.18,0,0,0,0
Abadia de Goiás - GO,2026-06-02,0.0,15.81,27.95,7.91,0,0,1,0
Abadia de Goiás - GO,2026-06-03,0.0,14.15,28.03,9.8,0,2,0,0
Abadia de Goiás - GO,2026-06-04,0.0,16.2,27.85,13.01,0,0,2,0
Abadia de Goiás - GO,2026-06-05,0.0,16.54,26.99,11.86,0,0,0,0
Abadia dos Dourados - MG,2026-05-27,0.0,13.29,28.69,14.38,0,0,0,0
Abadia dos Dourados - MG,2026-05-28,0.0,16.68,28.74,7.4,1,3,0,0
Abadia dos Dourados - MG,2026-05-29,0.0,16.62,26.86,7.91,0,0,0,1
Abadia dos Dourados - MG,2026-05-30,0.08,17.31,27.39,7.53,0,0,0,1
Abadia dos Dourados - MG,2026-05-31,0.57,16.61,27.48,5.88,0,0,0,0
Abadia dos Dourados - MG,2026-06-01,1.07,16.37,27.08,7.03,0,0,0,1
Abadia dos Dourados - MG,2026-06-02,0.0,14.12,27.6,6.69,0,1,0,1
Abadia dos Dourados - MG,2026-06-03,0.02,14.25,26.4,13.13,3,2,0,0
Abadia dos Dourados - MG,2026-06-04,0.01,15.45,25.57,14.7,0,0,0,1
Abadia dos Dourados - MG,2026-06-05,0.0,14.41,24.99,10.99,0,0,0,1
Abadiânia - GO,2026-05-27,0.0,12.98,27.28,12.93,0,2,0,0
Abadiânia - GO,2026-05-28,0.0,16.28,27.05,10.14,1,0,0,0
Abadiânia - GO,2026-05-29,0.0,16.65,25.51,8.45,0,0,0,0
Abadiânia - GO,2026-05-30,0.02,16.44,25.45,9.13,0,0,0,1
Abadiânia - GO,2026-05-31,0.13,15.73,26.51,7.61,0,1,0,1
Abadiânia - GO,2026-06-01,1.02,15.72,26.36,5.23,0,0,0,1
Abadiânia - GO,2026-06-02,0.04,14.87,26.48,6.72,0,0,2,0
Abadiânia - GO,2026-06-03,0.01,13.87,26.0,9.22,0,0,0,0
Abadiânia - GO,2026-06-04,0.02,15.57,25.66,14.36,0,0,2,0
