cidade,dt,r,tmin,tmax,wmx,c1,c2,c3,c4
Abadia de Goiás - GO,2026-05-24,0.06,18.58,28.5,12.9,2,1,1,2
Abadia de Goiás - GO,2026-05-25,0.0,18.78,29.7,7.67,1,0,0,1
Abadia de Goiás - GO,2026-05-26,0.0,18.53,29.74,7.1,0,0,0,1
Abadia de Goiás - GO,2026-05-27,0.0,18.07,29.47,7.38,0,1,0,0
Abadia de Goiás - GO,2026-05-28,0.0,17.71,29.03,7.79,0,0,0,0
Abadia dos Dourados - MG,2026-05-24,0.2,18.14,26.72,11.11,0,0,0,2
Abadia dos Dourados - MG,2026-05-25,0.0,17.65,28.64,6.87,0,0,0,0
Abadia dos Dourados - MG,2026-05-26,0.0,17.82,28.68,6.93,0,0,0,3
Abadia dos Dourados - MG,2026-05-27,0.0,16.79,28.79,6.32,0,0,0,1
Abadia dos Dourados - MG,2026-05-28,0.0,16.56,28.87,6.64,1,1,0,3
Abadiânia - GO,2026-05-24,0.26,16.83,26.32,15.54,0,0,1,1
Abadiânia - GO,2026-05-25,0.0,16.78,27.67,7.07,1,0,0,3
Abadiânia - GO,2026-05-26,0.0,16.69,27.43,7.4,0,0,0,1
Abadiânia - GO,2026-05-27,0.0,16.01,27.13,7.5,0,0,3,0
Abadiânia - GO,2026-05-28,0.0,15.81,26.72,7.79,0,0,0,0
Abaeté - MG,2026-05-24,0.25,16.92,26.0,5.15,1,0,0,1
Abaeté - MG,2026-05-25,0.01,17.4,27.08,4.73,0,0,2,0
Abaeté - MG,2026-05-26,0.0,16.94,27.12,6.26,0,0,0,0
Abaeté - MG,2026-05-27,0.0,16.36,27.72,3.35,0,3,0,0
Abaeté - MG,2026-05-28,0.0,16.06,27.59,5.19,0,0,0,1
Abaetetuba - PA,2026-05-24,10.22,25.17,28.54,9.16,2,2,2,1
Abaetetuba - PA,2026-05-25,19.99,24.84,29.23,9.56,1,2,2,1
Abaetetuba - PA,2026-05-26,5.05,25.32,30.77,9.17,1,1,1,1
Abaetetuba - PA,2026-05-27,14.76,25.39,30.32,9.89,1,2,1,1
Abaetetuba - PA,2026-05-28,20.45,25.31,29.31,8.25,1,1,1,1
Abaiara - CE,2026-05-24,0.12,20.36,30.1,19.44,0,0,1,1
Abaiara - CE,2026-05-25,0.38,20.09,29.51,15.55,1,0,1,1
Abaiara - CE,2026-05-26,0.07,21.66,30.21,17.44,1,1,1,2
Abaiara - CE,2026-05-27,0.25,22.26,30.29,16.04,1,1,1,2
Abaiara - CE,2026-05-28,0.0,21.78,30.84,15.93,1,0,0,2
Abaíra - BA,2026-05-24,3.89,17.89,21.47,14.48,3,3,3,3
Abaíra - BA,2026-05-25,1.11,16.62,22.83,10.85,2,2,3,2
Abaíra - BA,2026-05-26,0.32,16.41,24.62,8.78,1,3,1,1
Abaíra - BA,2026-05-27,0.05,15.2,24.88,8.23,0,2,3,1
