cidade,dt,r1,r2,r3,r4,tmin,tmax,wmx,c1,c2,c3,c4
Abadia de Goiás - GO,2026-05-29,0.0,0.0,0.0,0.0,18.45,26.57,9.1,0,0,0,0
Abadia de Goiás - GO,2026-05-30,0.0,0.0,0.0,0.0,17.0,27.41,8.87,0,1,0,0
Abadia de Goiás - GO,2026-05-31,0.0,0.0,0.0,0.0,16.45,28.05,6.94,0,1,0,0
Abadia de Goiás - GO,2026-06-01,0.15,0.0,0.0,0.0,15.6,28.08,7.73,0,0,0,0
Abadia de Goiás - GO,2026-06-02,0.0,0.0,0.0,0.0,14.63,27.95,9.44,0,0,0,0
Abadia de Goiás - GO,2026-06-03,0.0,0.0,0.0,0.0,16.04,27.91,9.28,0,0,0,0
Abadia de Goiás - GO,2026-06-04,0.0,0.0,0.0,0.0,15.32,27.5,12.57,0,0,0,0
Abadia de Goiás - GO,2026-06-05,0.0,0.0,0.0,0.0,13.19,25.7,12.49,0,0,0,0
Abadia de Goiás - GO,2026-06-06,0.0,0.0,0.01,0.0,12.31,24.06,12.63,0,0,0,0
Abadia de Goiás - GO,2026-06-07,0.0,0.0,0.0,0.0,11.97,25.24,10.53,0,0,0,0
Abadia dos Dourados - MG,2026-05-29,0.0,0.0,0.0,0.0,17.6,26.72,12.89,0,1,0,0
Abadia dos Dourados - MG,2026-05-30,0.08,0.0,0.0,0.0,16.57,26.91,7.0,0,1,0,0
Abadia dos Dourados - MG,2026-05-31,0.18,0.02,0.0,0.0,15.88,27.64,6.55,0,0,0,0
Abadia dos Dourados - MG,2026-06-01,0.06,0.0,0.0,0.0,14.66,28.45,8.76,0,0,0,0
Abadia dos Dourados - MG,2026-06-02,0.0,0.0,0.0,0.0,14.29,27.95,9.13,0,0,0,0
Abadia dos Dourados - MG,2026-06-03,0.0,0.0,0.0,0.0,15.38,26.88,10.61,0,1,0,0
Abadia dos Dourados - MG,2026-06-04,0.0,0.0,0.0,0.0,13.91,26.12,13.1,0,0,0,0
Abadia dos Dourados - MG,2026-06-05,0.0,0.0,0.0,0.0,11.88,23.85,14.12,0,0,0,0
Abadia dos Dourados - MG,2026-06-06,0.0,0.0,0.01,0.0,9.81,22.4,14.13,0,0,0,0
Abadia dos Dourados - MG,2026-06-07,0.0,0.0,0.0,0.0,10.65,23.27,9.55,0,0,0,0
Abadiânia - GO,2026-05-29,0.0,0.0,0.0,0.0,16.51,24.94,9.48,0,0,0,0
Abadiânia - GO,2026-05-30,0.03,0.0,0.0,0.0,15.22,24.78,9.72,1,1,0,0
Abadiânia - GO,2026-05-31,0.02,0.0,0.0,0.0,15.26,26.61,6.8,0,1,0,0
Abadiânia - GO,2026-06-01,0.22,0.15,0.0,0.0,14.85,26.61,6.6,0,0,0,0
Abadiânia - GO,2026-06-02,0.0,0.0,0.0,0.0,14.01,26.63,8.65,0,0,0,0
Abadiânia - GO,2026-06-03,0.0,0.0,0.0,0.0,15.1,26.28,9.62,0,0,0,0
Abadiânia - GO,2026-06-04,0.0,0.0,0.0,0.0,13.79,25.66,13.78,0,0,0,0
Abadiânia - GO,2026-06-05,0.0,0.0,0.0,0.0,11.54,23.82,14.33,0,0,0,0
Abadiânia - GO,2026-06-06,0.0,0.0,0.0,0.0,10.63,22.34,14.3,0,0,0,0
Abadiânia - GO,2026-06-07,0.0,0.01,0.0,0.0,10.75,23.84,10.36,0,0,0,0
Abaeté - MG,2026-05-29,0.05,0.0,0.01,0.02,17.04,25.44,5.18,0,1,0,1
Abaeté - MG,2026-05-30,0.26,0.23,0.05,0.0,16.03,24.72,4.86,0,1,0,0
Abaeté - MG,2026-05-31,0.32,0.13,0.1,0.0,15.82,26.33,4.63,0,0,0,0
Abaeté - MG,2026-06-01,0.54,0.15,0.01,0.0,14.85,26.55,8.46,0,0,0,0
Abaeté - MG,2026-06-02,0.12,0.0,0.0,0.0,14.51,26.1,8.46,0,0,0,0
Abaeté - MG,2026-06-03,0.27,0.0,0.0,0.0,14.01,25.16,7.16,0,0,0,0
